Player,Year,Pos,Age,G,MP,PTS,TRB,AST
Pau Gasol,2016,C,35,72,31.8,16.5,11.0,4.1
Taj Gibson,2016,PF,30,73,26.5,8.6,6.9,1.5
Tony Snell,2016,SF,24,64,20.3,5.3,3.1,1.0
Aaron Brooks,2017,PG,32,65,13.8,5.0,1.1,1.9
Al Jefferson,2017,C,32,66,14.1,8.1,4.2,0.9
C.J. Miles,2017,SF,29,76,23.4,10.7,3.0,0.6
Georges Niang,2017,PF,23,23,4.0,0.9,0.7,0.2
Glenn Robinson III,2017,SF,23,69,20.7,6.1,3.6,0.7
Jeff Teague,2017,PG,28,82,32.4,15.3,4.0,7.8
Joe Young,2017,PG,24,33,4.1,2.1,0.5,0.5
Kevin S̩raphin,2017,PF,27,49,11.4,4.7,2.9,0.5
Lance Stephenson,2017,SG,26,18,20.1,6.8,2.9,3.3
Lavoy Allen,2017,PF,27,61,14.3,2.9,3.6,0.9
Monta Ellis,2017,SG,31,74,27.0,8.5,2.8,3.2
Myles Turner,2017,C,20,81,31.4,14.5,7.3,1.3
Paul George,2017,SF,26,75,35.9,23.7,6.6,3.3
Rakeem Christmas,2017,PF,25,29,7.6,2.0,1.9,0.1
Rodney Stuckey,2017,PG,30,39,17.8,7.2,2.2,2.2
Thaddeus Young,2017,PF,28,74,30.2,11.0,6.1,1.6
Aaron Brooks,2018,PG,33,32,5.9,2.3,0.5,0.6
Andrew Wiggins,2018,SF,22,82,36.3,17.7,4.4,2.0
Anthony Brown,2018,SF,25,1,4.0,3.0,0.0,1.0
Cole Aldrich,2018,C,29,21,2.3,0.6,0.7,0.1
Derrick Rose,2018,PG,29,25,16.8,8.4,1.4,1.5
Gorgui Dieng,2018,C,28,79,16.9,5.9,4.6,0.9
Jamal Crawford,2018,SG,37,80,20.7,10.3,1.2,2.3
Jeff Teague,2018,PG,29,70,33.0,14.2,3.0,7.0
Jimmy Butler,2018,SG,28,59,36.7,22.2,5.3,4.9
Justin Patton,2018,C,20,1,4.0,2.0,0.0,0.0
Karl-Anthony Towns,2018,C,22,82,35.6,21.3,12.3,2.4
Marcus Georges-Hunt,2018,SG,23,42,5.3,1.4,0.4,0.2
Nemanja Bjelica,2018,PF,29,67,20.5,6.8,4.1,1.3
Taj Gibson,2018,PF,32,82,33.2,12.2,7.1,1.2
Tyus Jones,2018,PG,21,82,17.9,5.1,1.6,2.8
Aaron Gordon,2015,PF,19,47,17.0,5.2,3.6,0.7
